date,daily_revenue
2024-11-07,174.33
2024-11-08,225.47000000000003
2024-11-09,506.96
2024-11-10,184.33
2024-11-11,160.09
2024-11-12,252.12
2024-11-13,210.5
2024-11-14,118.07999999999998
2024-11-15,111.05000000000001
2024-11-16,232.26000000000002
2024-11-17,188.59
2024-11-18,229.51
2024-11-19,291.81
2024-11-20,142.07999999999998
2024-11-21,159.57999999999998
2024-11-22,77.28999999999999
2024-11-23,347.68
2024-11-24,376.53000000000003
2024-11-25,221.14
2024-11-26,123.02000000000001
2024-11-27,232.57
2024-11-28,113.50999999999999
2024-11-29,213.62
2024-11-30,296.57
2024-12-01,89.32999999999998
2024-12-02,247.9
2024-12-03,130.72
2024-12-04,43.019999999999996
2024-12-05,108.26999999999998
2024-12-06,71.48
2024-12-07,108.71
2024-12-08,168.12
2024-12-09,113.99
2024-12-10,269.93
2024-12-11,57.75
2024-12-12,85.58000000000001
2024-12-13,133.24
2024-12-14,205.26
2024-12-15,121.8
2024-12-16,214.84
2024-12-17,295.53000000000003
2024-12-18,218.02999999999997
2024-12-19,97.44
2024-12-20,40.25
2024-12-21,103.08
2024-12-22,61.10000000000001
2024-12-23,340.05999999999995
2024-12-24,142.66
2024-12-25,17.36
2024-12-26,27.25
2024-12-27,152.23
2024-12-28,202.48
2024-12-29,301.70000000000005
2024-12-30,76.28
2024-12-31,200.92
